GEOID,NAME,B01001_calc_PopDensity
1001,Autauga County,35.85341899
1003,Baldwin County,50.54150356
1005,Barbour County,11.24798121
1007,Bibb County,13.973114
1009,Blount County,34.51581642
1011,Bullock County,6.41761955
1013,Butler County,9.952770785
1015,Calhoun County,73.348688
1017,Chambers County,21.89263808
1019,Cherokee County,18.0333283
1021,Chilton County,24.48066939
1023,Choctaw County,5.526508604
1025,Clarke County,7.603131652
1027,Clay County,8.552331345
1029,Cleburne County,10.29735391
1031,Coffee County,29.16467291
1033,Colbert County,35.49694998
1035,Conecuh County,5.682995171
1037,Coosa County,6.438885282
1039,Covington County,13.99370346
1041,Crenshaw County,8.792273306
1043,Cullman County,43.25267563
1045,Dale County,33.89312549
1047,Dallas County,15.79103338
1049,DeKalb County,35.37577983
1051,Elmore County,50.70144021
1053,Escambia County,15.24764898
1055,Etowah County,74.25054812
1057,Fayette County,10.20180135
1059,Franklin County,19.21135615
1061,Geneva County,17.80431585
1063,Greene County,5.028100131
1065,Hale County,8.925557001
1067,Henry County,11.76966574
1069,Houston County,69.48209266
1071,Jackson County,18.65848284
1073,Jefferson County,229.2513381
1075,Lamar County,8.894097028
1077,Lauderdale County,53.51282236
1079,Lawrence County,18.54305046
1081,Lee County,101.2278644
1083,Limestone County,64.16149688
1085,Lowndes County,5.520435979
1087,Macon County,12.08354055
1089,Madison County,172.2275
1091,Marengo County,7.722101608
1093,Marion County,15.58520673
1095,Marshall County,64.92182299
1097,Mobile County,130.2299289
1099,Monroe County,8.097965626
1101,Montgomery County,111.5782173
1103,Morgan County,79.38223066
1105,Perry County,5.089327131
1107,Pickens County,8.891346444
1109,Pike County,19.18998514
1111,Randolph County,15.0131423
1113,Russell County,35.05587426
1115,St. Clair County,53.370584
1117,Shelby County,103.8590388
1119,Sumter County,5.547014404
1121,Talladega County,42.21915736
1123,Tallapoosa County,21.89695846
1125,Tuscaloosa County,60.27841134
1127,Walker County,31.4801768
1129,Washington County,5.948771806
1131,Wilcox County,4.69736954
1133,Winston County,15.03833828
2013,Aleutians East Borough,0.189317984
2016,Aleutians West Census Area,0.505471803
2020,Anchorage Municipality,67.00029188
2050,Bethel Census Area,0.171435929
2060,Bristol Bay Borough,0.712955928
2068,Denali Borough,0.068195198
2070,Dillingham Census Area,0.104785322
2090,Fairbanks North Star Borough,5.249490983
2100,Haines Borough,0.415544894
2105,Hoonah-Angoon Census Area,0.125547899
2110,Juneau City and Borough,4.616610188
2122,Kenai Peninsula Borough,1.402885307
2130,Ketchikan Gateway Borough,1.097363264
2150,Kodiak Island Borough,0.796616254
2158,Kusilvak Census Area,0.185386083
2164,Lake and Peninsula Borough,0.022215413
2170,Matanuska-Susitna Borough,1.616412301
2180,Nome Census Area,0.16681479
2185,North Slope Borough,0.042585631
2188,Northwest Arctic Borough,0.083765592
2195,Petersburg Borough,0.433274538
2198,Prince of Wales-Hyder Census Area,0.4749637
2220,Sitka City and Borough,1.175520142
2230,Skagway Municipality,0.944050025
2240,Southeast Fairbanks Census Area,0.106951727
2261,Valdez-Cordova Census Area,0.104936773
2275,Wrangell City and Borough,0.375226755
2282,Yakutat City and Borough,0.034896325
2290,Yukon-Koyukuk Census Area,0.014362075
4001,Apache County,2.466163547
4003,Cochise County,7.909160031
4005,Coconino County,2.907730578
4007,Gila County,4.333306678
4009,Graham County,3.163771078
4011,Greenlee County,1.992160031
4012,La Paz County,1.776302238
4013,Maricopa County,178.541174
4015,Mohave County,5.977113496
4017,Navajo County,4.218261644
4019,Pima County,42.8548311
4021,Pinal County,30.20127807
4023,Santa Cruz County,14.54108112
4025,Yavapai County,10.67714706
4027,Yuma County,14.55270217
5001,Arkansas County,7.077235454
5003,Ashley County,8.568999577
5005,Baxter County,28.71527107
5007,Benton County,117.9774558
5009,Boone County,24.40204536
5011,Bradley County,6.510797369
5013,Calhoun County,3.195379922
5015,Carroll County,17.09180309
5017,Chicot County,6.48720534
5019,Clark County,9.979357949
5021,Clay County,9.093629023
5023,Cleburne County,17.5920795
5025,Cleveland County,5.313083763
5027,Columbia County,12.04300901
5029,Conway County,14.61617031
5031,Craighead County,57.70123977
5033,Crawford County,40.79968711
5035,Crittenden County,31.00606806
5037,Cross County,10.64756188
5039,Dallas County,4.299625822
5041,Desha County,5.974983295
5043,Drew County,8.623895565
5045,Faulkner County,72.94679147
5047,Franklin County,11.27518456
5049,Fulton County,7.581608118
5051,Garland County,55.99985179
5053,Grant County,11.05241582
5055,Greene County,29.82410541
5057,Hempstead County,11.68517302
5059,Hot Spring County,21.03703075
5061,Howard County,8.78324092
5063,Independence County,18.83321817
5065,Izard County,9.017189389
5067,Jackson County,10.49119353
5069,Jefferson County,31.2545148
5071,Johnson County,15.38292036
5073,Lafayette County,5.053796893
5075,Lawrence County,10.95289483
5077,Lee County,6.021341533
5079,Lincoln County,9.416005919
5081,Little River County,9.007542588
5083,Logan County,11.86296384
5085,Lonoke County,36.16397177
5087,Madison County,7.440154385
5089,Marion County,10.63184711
5091,Miller County,27.00125271
5093,Mississippi County,18.36285781
5095,Monroe County,4.609912671
5097,Montgomery County,4.452369013
5099,Nevada County,5.274363826
5101,Newton County,3.691189254
5103,Ouachita County,12.70141532
5105,Perry County,7.22554351
5107,Phillips County,10.56464774
5109,Pike County,6.947737181
5111,Poinsett County,12.24652429
5113,Polk County,9.076778703
5115,Pope County,30.24304863
5117,Prairie County,4.912934335
5119,Pulaski County,200.1765891
5121,Randolph County,10.42059243
5123,St. Francis County,15.99262769
5125,Saline County,62.97248504
5127,Scott County,4.518266116
5129,Searcy County,4.592572331
5131,Sebastian County,92.52384261
5133,Sevier County,11.74641335
5135,Sharp County,10.88689047
5137,Stone County,7.924463969
5139,Union County,14.76172209
5141,Van Buren County,9.076268141
5143,Washington County,93.66695805
5145,White County,29.39513161
5147,Woodruff County,4.382376797
5149,Yell County,8.954998447
6001,Alameda County,860.7570749
6003,Alpine County,0.599280666
6005,Amador County,24.56534526
6007,Butte County,53.57515906
6009,Calaveras County,17.12260581
6011,Colusa County,7.201880119
6013,Contra Costa County,610.1802904
6015,Del Norte County,10.52293111
6017,El Dorado County,42.19958001
6019,Fresno County,63.38567736
6021,Glenn County,8.197380559
6023,Humboldt County,14.69107797
6025,Imperial County,16.65999073
6027,Inyo County,0.685856011
6029,Kern County,41.92545231
6031,Kings County,41.67726795
6033,Lake County,19.71137641
6035,Lassen County,2.651421461
6037,Los Angeles County,960.7427779
6039,Madera County,28.00789771
6041,Marin County,193.1005061
6043,Mariposa County,4.674251881
6045,Mendocino County,9.626461049
6047,Merced County,53.67222176
6049,Modoc County,0.881376109
6051,Mono County,1.794895517
6053,Monterey County,50.96841445
6055,Napa County,72.50862772
6057,Nevada County,39.9469912
6059,Orange County,1541.02667
6061,Placer County,104.2928314
6063,Plumas County,2.827868464
6065,Riverside County,127.6881106
6067,Sacramento County,603.8906191
6069,San Benito County,16.52008807
6071,San Bernardino County,41.10128555
6073,San Diego County,302.9941503
6075,San Francisco County,7168.190471
6077,San Joaquin County,203.0389818
6079,San Luis Obispo County,32.9240586
6081,San Mateo County,659.1746544
6083,Santa Barbara County,62.63967412
6085,Santa Clara County,574.8383699
6087,Santa Cruz County,237.464658
