OID_,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,Shape_Length,Shape_Area,RPL_THEMES,weighted_wfhp,weighted_wfp,geoid_text,E_TOTPOP,STATE
1,31,039,00835841,31039,Cuming,1.62443231374707,0.161522931255494,0.1936,1.075640630000000,0.000000000000000,31039,8991,NEBRASKA
2,53,069,01513275,53069,Wahkiakum,1.46396976467112,8.36433729311517E-02,0.1809,1.310627597000000,0.000000000000000,53069,4189,WASHINGTON
3,35,011,00933054,35011,De Baca,3.45513260426899,0.592344046281822,0.6939,2.516377267000000,0.000000000000000,35011,2060,NEW MEXICO
4,31,109,00835876,31109,Lancaster,1.94338014198734,0.233861880298528,0.3025,1.088981608000000,0.000000000000000,31109,310094,NEBRASKA
5,31,129,00835886,31129,Nuckolls,1.60228184121706,0.157690976051762,0.1736,1.139783593000000,1.363232629000460,31129,4275,NEBRASKA
6,46,099,01265772,46099,Minnehaha,2.05052454185194,0.235255928220739,0.3589,1.051035725000000,0.108635052293019,46099,186749,SOUTH DAKOTA
7,48,327,01383949,48327,Menard,2.0173589341091,0.220448006281852,0.5854,1.655240085000000,55.601869347531199,48327,2123,TEXAS
8,06,091,00277310,06091,Sierra,3.06418655037084,0.261249352587528,0.0452,3.909065892000000,88.851784673538702,06091,2930,CALIFORNIA
9,21,053,00516873,21053,Clinton,1.1485056352506,5.36698396234039E-02,0.778,1.030797659000000,0.000000000000000,21053,10211,KENTUCKY
10,39,063,01074044,39063,Hancock,1.61546175715505,0.147929825164626,0.2111,1.000000000000000,0.000000000000000,39063,75690,OHIO
11,48,189,01383880,48189,Hale,2.01833169397052,0.254157381624598,0.9312,1.362912604000000,1.511338054741540,48189,34113,TEXAS
12,01,027,00161539,01027,Clay,2.02278717684848,0.151892176707378,0.564,2.164319249000000,52.425675981870903,01027,13378,ALABAMA
13,48,011,01383791,48011,Armstrong,1.94493774721561,0.233601269122193,0.1599,2.501346218000000,27.867326838098300,48011,1916,TEXAS
14,39,003,01074015,39003,Allen,1.58768889765384,0.112394646963599,0.5793,1.000000000000000,0.000000000000000,39003,103642,OHIO
15,13,189,00348794,13189,McDuffie,1.47240418411764,6.69073572184938E-02,0.9376,2.796902499000000,76.344002410226295,13189,21498,GEORGIA
16,55,111,01581115,55111,Sauk,2.3344838512681,0.244475113794303,0.2344,1.393939394000000,0.705041888542472,55111,63596,WISCONSIN
17,05,137,00069902,05137,Stone,2.09411235348172,0.157537012773284,0.5102,1.310014833000000,1.125129988004620,05137,12446,ARKANSAS
18,41,063,01155135,41063,Wallowa,4.66089126364747,0.940937560313626,0.5032,3.462271118000000,71.887113749506995,41063,6924,OREGON
19,42,007,01214112,42007,Beaver,1.42253811953432,0.122502126333515,0.2481,1.000000000000000,0.000000000000000,42007,166896,PENNSYLVANIA
20,28,061,00695754,28061,Jasper,1.6386143173393,0.16750554341851,0.7691,2.192952729000000,22.898634210030998,28061,16529,MISSISSIPPI
21,29,083,00758496,29083,Henry,1.86090582772355,0.195567486742097,0.5959,1.036680471000000,0.478372100085024,29083,21765,MISSOURI
22,08,109,00198170,08109,Saguache,4.39184276685972,0.843148725871706,0.807,1.274807186000000,5.586362051956590,08109,6468,COLORADO
23,37,037,01008544,37037,Chatham,2.27085822253854,0.182855453522865,0.3809,2.217160645000000,51.278275798356297,37037,69791,NORTH CAROLINA
24,49,033,01448030,49033,Rich,3.06082090459591,0.304043007908738,0.1971,1.707735749000000,4.961321279101230,49033,2350,UTAH
25,40,001,01101788,40001,Adair,1.6344532178162,0.149239263982464,0.8965,2.489565394000000,68.008145579963099,40001,22113,OKLAHOMA
26,39,085,01074055,39085,Lake,1.38156098211046,6.47986636073466E-02,0.1293,1.000000000000000,0.000000000000000,39085,230052,OHIO
27,51,775,01789074,51775,Salem,0.371666467938927,3.84785913054118E-03,0.3089,1.361290323000000,9.390053040934280,51775,25519,VIRGINIA
28,51,121,01674630,51121,Montgomery,1.92166980020445,0.10229426981082,0.2959,1.157864382000000,0.778712749766802,51121,97997,VIRGINIA
29,47,065,01639749,47065,Hamilton,2.00013269288465,0.147541458657854,0.4137,2.027497412000000,47.895744090187598,47065,357546,TENNESSEE
30,35,035,00929104,35035,Otero,5.92127192990691,1.64898294778656,0.914,2.066866108000000,10.921063997251199,35035,65745,NEW MEXICO
31,35,003,00929108,35003,Catron,5.42143542520172,1.74975146717618,0.3357,3.310496776000000,16.111249839311899,35003,3539,NEW MEXICO
32,01,091,00161572,01091,Marengo,2.63866861291202,0.243547185911329,0.7621,1.519996337000000,0.000000000000000,01091,19538,ALABAMA
33,56,023,01605076,56023,Lincoln,5.56464148745044,1.15718551648517,0.0809,1.590012180000000,22.134695629740900,56023,19011,WYOMING
34,29,011,00758460,29011,Barton,1.66218073091368,0.157483140930272,0.5994,1.001810551000000,0.000000000000000,29011,11850,MISSOURI
35,48,057,01383814,48057,Calhoun,3.73407427148235,0.178338118932272,0.8618,1.279196089000000,13.145005221670999,48057,21807,TEXAS
36,51,735,01498436,51735,Poquoson,0.367639732636677,5.34847174849769E-03,0.0127,1.825174825000000,29.029927268391599,51735,12039,VIRGINIA
37,54,075,01550044,54075,Pocahontas,2.75688974781258,0.251331420992572,0.4971,1.003774285000000,0.340286511471416,54075,8531,WEST VIRGINIA
38,48,077,01383824,48077,Clay,2.46278126155687,0.281556782042937,0.3182,2.557022771000000,45.459258154936201,48077,10387,TEXAS
39,51,095,01480135,51095,James City,1.75075332524915,0.04111166206072,0.115,1.295735260000000,6.333190215166670,51095,74153,VIRGINIA
40,31,101,00835872,31101,Keith,2.39415983560179,0.308567491216613,0.2268,1.053706252000000,7.215555160282770,31101,8099,NEBRASKA
41,31,137,00835890,31137,Phelps,1.58900836439078,0.148722983639535,0.1226,1.009526645000000,0.000000000000000,31137,9120,NEBRASKA
42,22,019,00558468,22019,Calcasieu,3.1187365665705,0.265557321377676,0.7392,2.291988073000000,0.000000000000000,22019,200182,LOUISIANA
43,22,111,00559528,22111,Union,2.29394524284457,0.225816596307848,0.808,1.665765859000000,0.000000000000000,22111,22475,LOUISIANA
