GEOID,NAME,pop,percent_pov
20171,Scott,4949,2.3
48033,Borden,665,2.6
51610,Falls Church,14067,2.7
49029,Morgan,11391,3
8035,Douglas,328614,3.5
48431,Sterling,1141,3.5
46083,Lincoln,54914,3.7
51107,Loudoun,385143,3.7
38081,Sargent,3883,3.8
27019,Carver,100416,4
46021,Campbell,1435,4
8047,Gilpin,5924,4.1
30019,Daniels,1753,4.2
47187,Williamson,218648,4.3
8039,Elbert,25162,4.4
20203,Wichita,2143,4.4
46119,Sully,1331,4.4
27171,Wright,132745,4.5
51179,Stafford,144012,4.5
51735,Poquoson,12039,4.5
55109,St. Croix,87917,4.5
8111,San Juan,544,4.6
34027,Morris,494383,4.6
39041,Delaware,197008,4.6
39165,Warren,226564,4.6
18057,Hamilton,316095,4.7
27163,Washington,253317,4.7
33015,Rockingham,305129,4.7
34035,Somerset,330176,4.7
38075,Renville,2495,4.7
46117,Stanley,2997,4.7
49009,Daggett,612,4.7
51199,York,67587,4.7
34019,Hunterdon,125051,4.8
51127,New Kent,21103,4.8
55131,Washington,134535,4.8
19119,Lyon,11769,4.9
31081,Hamilton,9178,4.9
51065,Fluvanna,26282,4.9
55133,Waukesha,398879,4.9
8014,Broomfield,66120,5
17133,Monroe,33936,5
20179,Sheridan,2506,5.1
24009,Calvert,91082,5.1
31073,Gosper,2015,5.1
34037,Sussex,142298,5.1
17093,Kendall,124626,5.3
18063,Hendricks,160940,5.3
24013,Carroll,167522,5.3
30033,Garfield,1141,5.3
35028,Los Alamos,18356,5.3
36079,Putnam,99070,5.3
38021,Dickey,4970,5.3
48259,Kendall,41982,5.3
51075,Goochland,22482,5.3
51145,Powhatan,28574,5.3
18011,Boone,64321,5.4
24027,Howard,315327,5.4
30083,Richland,11360,5.4
31153,Sarpy,178351,5.4
55089,Ozaukee,88284,5.4
8019,Clear Creek,9379,5.5
8093,Park,17392,5.5
21185,Oldham,65374,5.5
24035,Queen Anne's,49355,5.5
27039,Dodge,20582,5.5
31135,Perkins,2907,5.5
38087,Slope,704,5.5
46045,Edmunds,3940,5.5
49011,Davis,340621,5.5
13113,Fayette,111369,5.6
20091,Johnson,585502,5.6
26093,Livingston,188482,5.6
27025,Chisago,54727,5.6
29183,St. Charles,389985,5.6
51085,Hanover,104449,5.6
20197,Wabaunsee,6888,5.7
36059,Nassau,1356564,5.7
48397,Rockwall,93642,5.7
51099,King George,25890,5.7
55015,Calumet,49807,5.7
27139,Scott,143372,5.8
38073,Ransom,5361,5.8
46057,Hamlin,6000,5.8
13117,Forsyth,219880,5.9
13219,Oconee,37017,5.9
17147,Piatt,16427,5.9
19049,Dallas,84002,5.9
20069,Gray,6037,6
24003,Anne Arundel,567696,6
27157,Wabasha,21500,6
38091,Steele,1910,6
51079,Greene,19410,6
16081,Teton,11080,6.1
18115,Ohio,5887,6.1
19075,Grundy,12341,6.1
24017,Charles,157671,6.1
27003,Anoka,347431,6.1
31011,Boone,5313,6.1
31103,Keya Paha,792,6.1
39055,Geauga,93961,6.1
42017,Bucks,626370,6.1
51061,Fauquier,69115,6.1
20033,Comanche,1780,6.2
26089,Leelanau,21639,6.2
36091,Saratoga,227377,6.2
42091,Montgomery,821301,6.2
51059,Fairfax,1143529,6.2
51069,Frederick,85153,6.2
56033,Sheridan,30012,6.2
48065,Carson,6032,6.3
48205,Hartley,5767,6.3
19031,Cedar,18445,6.4
20167,Russell,6977,6.4
27037,Dakota,418201,6.4
30095,Stillwater,9410,6.4
31025,Cass,25702,6.4
39103,Medina,177257,6.4
25021,Norfolk,698249,6.5
34005,Burlington,446367,6.5
38033,Golden Valley,1882,6.5
48243,Jeff Davis,2234,6.5
49043,Summit,40511,6.5
19147,Palo Alto,9055,6.6
38013,Burke,2213,6.6
38097,Traill,8019,6.6
38103,Wells,4055,6.6
48085,Collin,944350,6.6
8095,Phillips,4318,6.7
19121,Madison,15890,6.7
39137,Putnam,33969,6.7
46061,Hanson,3397,6.7
48137,Edwards,2055,6.7
48491,Williamson,527057,6.7
49045,Tooele,65185,6.7
56011,Crook,7410,6.7
13145,Harris,33590,6.8
