geoid,weighted_wfp,e_pop,state
31039,0,8991,NEBRASKA
53069,0,4189,WASHINGTON
35011,0,2060,NEW MEXICO
31109,0,310094,NEBRASKA
31129,1.363232629,4275,NEBRASKA
46099,0.108635052,186749,SOUTH DAKOTA
48327,55.60186935,2123,TEXAS
6091,88.85178467,2930,CALIFORNIA
21053,0,10211,KENTUCKY
39063,0,75690,OHIO
48189,1.511338055,34113,TEXAS
1027,52.42567598,13378,ALABAMA
48011,27.86732684,1916,TEXAS
39003,0,103642,OHIO
13189,76.34400241,21498,GEORGIA
55111,0.705041889,63596,WISCONSIN
5137,1.125129988,12446,ARKANSAS
41063,71.88711375,6924,OREGON
42007,0,166896,PENNSYLVANIA
28061,22.89863421,16529,MISSISSIPPI
29083,0.4783721,21765,MISSOURI
8109,5.586362052,6468,COLORADO
37037,51.2782758,69791,NORTH CAROLINA
49033,4.961321279,2350,UTAH
40001,68.00814558,22113,OKLAHOMA
39085,0,230052,OHIO
51775,9.390053041,25519,VIRGINIA
51121,0.77871275,97997,VIRGINIA
47065,47.89574409,357546,TENNESSEE
35035,10.921064,65745,NEW MEXICO
35003,16.11124984,3539,NEW MEXICO
1091,0,19538,ALABAMA
56023,22.13469563,19011,WYOMING
29011,0,11850,MISSOURI
48057,13.14500522,21807,TEXAS
51735,29.02992727,12039,VIRGINIA
54075,0.340286511,8531,WEST VIRGINIA
48077,45.45925815,10387,TEXAS
51095,6.333190215,74153,VIRGINIA
31101,7.21555516,8099,NEBRASKA
31137,0,9120,NEBRASKA
22019,0,200182,LOUISIANA
22111,0,22475,LOUISIANA
40135,58.52752756,41359,OKLAHOMA
1049,42.27529982,71200,ALABAMA
36101,0,96927,NEW YORK
42053,0,7351,PENNSYLVANIA
22105,0,130504,LOUISIANA
51179,0,144012,VIRGINIA
26109,0,23234,MICHIGAN
18073,0,33449,INDIANA
13025,0,18561,GEORGIA
13171,78.79393877,18513,GEORGIA
18151,0,34474,INDIANA
48361,36.3615999,84047,TEXAS
39047,0,28645,OHIO
25015,0,161159,MASSACHUSETTS
21003,0,20794,KENTUCKY
37001,1.179384166,160576,NORTH CAROLINA
20073,70.78739668,6156,KANSAS
25025,0,791766,MASSACHUSETTS
16051,1.804194446,27969,IDAHO
48177,0,20667,TEXAS
47115,75.26208836,28417,TENNESSEE
26007,0.007625072,28612,MICHIGAN
21231,2.807798517,20609,KENTUCKY
47185,1.703201591,26580,TENNESSEE
48147,6.304393,34175,TEXAS
20043,0,7736,KANSAS
48265,62.82677225,51365,TEXAS
12053,54.14883633,182696,FLORIDA
12129,0,31877,FLORIDA
12131,0,65858,FLORIDA
