ST,STATE,ST_ABBR,COUNTY,FIPS,E_TOTPOP,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,wfp,svi,weighted_wfp
1,ALABAMA,AL,Autauga,1001,55200,0.3631,0.581,0.5947,0.3741,0.4354,WFP-SD =  0 - 25, SVI =  26 - 50,17.39043873
1,ALABAMA,AL,Baldwin,1003,208107,0.2232,0.199,0.4358,0.3359,0.2162,WFP-SD =  0 - 25, SVI =  0 - 25,18.26233794
1,ALABAMA,AL,Barbour,1005,25782,0.978,0.9153,0.8558,0.9889,0.9959,WFP-SD =  0 - 25, SVI =  76 - 100,0
1,ALABAMA,AL,Bibb,1007,22527,0.7694,0.1203,0.4323,0.7189,0.6003,WFP-SD =  0 - 25, SVI =  51- 75,14.36586634
1,ALABAMA,AL,Blount,1009,57645,0.6143,0.3187,0.5915,0.1741,0.4242,WFP-SD =  0 - 25, SVI =  26 - 50,4.114112528
1,ALABAMA,AL,Bullock,1011,10352,0.9771,0.4438,0.6749,0.765,0.8898,WFP-SD =  0 - 25, SVI =  76 - 100,0
1,ALABAMA,AL,Butler,1013,20025,0.8455,0.9077,0.6447,0.6259,0.8653,WFP-SD =  0 - 25, SVI =  76 - 100,0
1,ALABAMA,AL,Calhoun,1015,115098,0.7866,0.8303,0.6507,0.6492,0.8252,WFP-SD =  51- 75, SVI =  76 - 100,64.88104889
1,ALABAMA,AL,Chambers,1017,33826,0.6901,0.6609,0.4597,0.7943,0.7382,WFP-SD =  0 - 25, SVI =  51- 75,6.47887371
1,ALABAMA,AL,Cherokee,1019,25853,0.6879,0.4492,0.2751,0.2741,0.4516,WFP-SD =  76 - 100, SVI =  26 - 50,83.06517458
1,ALABAMA,AL,Chilton,1021,43930,0.7685,0.8513,0.6966,0.3636,0.7602,WFP-SD =  26 - 50, SVI =  76 - 100,25.28330215
1,ALABAMA,AL,Choctaw,1023,13075,0.9057,0.9083,0.5896,0.5775,0.8748,WFP-SD =  0 - 25, SVI =  76 - 100,0.282252351
1,ALABAMA,AL,Clarke,1025,24387,0.9436,0.6167,0.4763,0.7345,0.8471,WFP-SD =  0 - 25, SVI =  76 - 100,14.00336678
1,ALABAMA,AL,Clay,1027,13378,0.8162,0.6673,0.4247,0.1579,0.564,WFP-SD =  51- 75, SVI =  51- 75,52.42567598
1,ALABAMA,AL,Cleburne,1029,14938,0.8694,0.6632,0.3419,0.1,0.5417,WFP-SD =  76 - 100, SVI =  51- 75,87.93434081
1,ALABAMA,AL,Coffee,1031,51288,0.5373,0.8067,0.7256,0.1923,0.5408,WFP-SD =  0 - 25, SVI =  51- 75,0
1,ALABAMA,AL,Colbert,1033,54495,0.6519,0.6858,0.397,0.1025,0.4274,WFP-SD =  0 - 25, SVI =  26 - 50,5.800519483
1,ALABAMA,AL,Conecuh,1035,12514,0.9529,0.9713,0.4397,0.213,0.8086,WFP-SD =  0 - 25, SVI =  76 - 100,0.000260747
1,ALABAMA,AL,Coosa,1037,10855,0.693,0.3836,0.5314,0.2913,0.5261,WFP-SD =  0 - 25, SVI =  51- 75,20.67731053
1,ALABAMA,AL,Covington,1039,37351,0.8232,0.908,0.3941,0.4702,0.7723,WFP-SD =  0 - 25, SVI =  76 - 100,0
1,ALABAMA,AL,Crenshaw,1041,13865,0.7271,0.8596,0.6979,0.2353,0.6873,WFP-SD =  0 - 25, SVI =  51- 75,0
1,ALABAMA,AL,Cullman,1043,82313,0.6895,0.4444,0.3305,0.3945,0.5182,WFP-SD =  0 - 25, SVI =  51- 75,5.011877383
1,ALABAMA,AL,Dale,1045,49255,0.779,0.7463,0.6772,0.455,0.7599,WFP-SD =  0 - 25, SVI =  76 - 100,0
1,ALABAMA,AL,Dallas,1047,40029,0.9669,0.9478,0.5345,0.8392,0.949,WFP-SD =  0 - 25, SVI =  76 - 100,0
