geoid,name,svi,weighted_wfp,pop,state
6009,Calaveras,23.5,95.61550312,45235,California
6105,Trinity,74.11,95.5081899,12862,California
6057,Nevada,20.45,95.43497909,99092,California
13035,Butts,76.53,94.80954141,23750,Georgia
6017,El Dorado,18.38,94.49562597,186661,California
6005,Amador,53.34,94.29507915,37829,California
41033,Josephine,65.57,93.88317061,85481,Oregon
45003,Aiken,66.66,93.70349829,166926,South Carolina
28111,Perry,70.86,93.44517757,12028,Mississippi
37153,Richmond,97.96,93.40367516,45189,North Carolina
13083,Dade,51.56,92.90594173,16227,Georgia
37125,Moore,36.21,91.58519612,95629,North Carolina
13143,Haralson,54.27,91.35875259,28956,Georgia
6089,Shasta,70.22,91.23874703,179085,California
28079,Leake,99.46,90.61605857,22870,Mississippi
47153,Sequatchie,57.2,90.43010375,14730,Tennessee
6045,Mendocino,88.18,90.41919198,87422,California
16015,Boise,6.72,90.34532411,7163,Idaho
13115,Floyd,88.54,90.19296578,96824,Georgia
13055,Chattooga,92.52,90.10247939,24817,Georgia
41029,Jackson,73.54,90.02030722,214267,Oregon
6063,Plumas,26.53,90.01556699,18699,California
37105,Lee,84.81,89.64195647,60125,North Carolina
37093,Hoke,89.24,89.43330414,53239,North Carolina
16035,Clearwater,44.01,89.42938918,8640,Idaho
28035,Forrest,93.66,89.36071146,75517,Mississippi
40127,Pushmataha,78.63,88.86333883,11119,Oklahoma
6091,Sierra,4.52,88.85178467,2930,California
6103,Tehama,96.24,88.73397888,63373,California
6033,Lake,91.78,88.72830818,64148,California
13223,Paulding,13.76,88.65836863,155840,Georgia
13295,Walker,64.08,88.62625097,68824,Georgia
45035,Dorchester,41.88,88.55944448,155474,South Carolina
37007,Anson,94.43,88.42954262,25306,North Carolina
6097,Sonoma,40.35,88.15711377,501317,California
45075,Orangeburg,92.29,88.12412141,88454,South Carolina
13255,Spalding,86.91,88.10541518,64719,Georgia
13009,Baldwin,86.66,88.02142524,45286,Georgia
1029,Cleburne,54.17,87.93434081,14938,Alabama
45025,Chesterfield,94.87,87.73380172,46024,South Carolina
37123,Montgomery,87.13,87.71063486,27338,North Carolina
13293,Upson,85.32,87.59157379,26216,Georgia
13045,Carroll,78.25,87.25444064,116022,Georgia
40077,Latimer,89.36,86.96322061,10495,Oklahoma
16049,Idaho,53.92,86.88397748,16337,Idaho
48067,Cass,78.41,86.73743625,30087,Texas
13085,Dawson,10.38,86.47811127,23861,Georgia
45051,Horry,61.02,86.30128834,320915,South Carolina
13077,Coweta,24.27,86.26269978,140516,Georgia
48459,Upshur,58.98,86.21830274,40769,Texas
13233,Polk,80.48,86.13840139,41621,Georgia
13245,Richmond,93.28,86.13149705,201463,Georgia
53007,Chelan,67.8,86.07683967,75757,Washington
16003,Adams,29.36,85.97422758,4019,Idaho
