GEOID,NAME,pop,weighted_wfhp
22023,Cameron,6868,4.645990156
12011,Broward,1909151,4.482660289
12086,Miami-Dade,2715516,4.467160253
41033,Josephine,85481,4.249255319
16049,Idaho,16337,4.217562593
49053,Washington,160537,4.195361885
6009,Calaveras,45235,4.177589551
6105,Trinity,12862,4.143623231
6015,Del Norte,27424,4.055481862
4007,Gila,53400,4.038947472
6033,Lake,64148,3.992416928
6073,San Diego,3302833,3.980521867
41029,Jackson,214267,3.937919498
6091,Sierra,2930,3.909065892
6057,Nevada,99092,3.907354286
6005,Amador,37829,3.900666936
6017,El Dorado,186661,3.900483942
16003,Adams,4019,3.898402068
6043,Mariposa,17540,3.865480149
36061,New York,1632480,3.860215054
6063,Plumas,18699,3.842801866
6111,Ventura,848112,3.839376347
8059,Jefferson,570427,3.833129691
16031,Cassia,23615,3.824917651
36081,Queens,2298513,3.811320755
36047,Kings,2600747,3.797619048
6093,Siskiyou,43540,3.781259687
16045,Gem,17052,3.768831893
16083,Twin Falls,83666,3.768669158
36005,Bronx,1437872,3.747035573
53019,Ferry,7576,3.745439383
6007,Butte,227075,3.732860567
30081,Ravalli,41902,3.726536038
49021,Iron,49691,3.71766206
41061,Union,26028,3.714898711
6085,Santa Clara,1922200,3.707188645
37095,Hyde,5393,3.703654162
16015,Boise,7163,3.70091459
41065,Wasco,25866,3.69919959
34017,Hudson,668631,3.68852459
41023,Grant,7183,3.68484143
16071,Oneida,4326,3.673685371
6115,Yuba,75493,3.671572681
6061,Placer,380077,3.667714674
16001,Ada,446052,3.654209815
16047,Gooding,15169,3.652384676
34029,Ocean,591939,3.650954326
6089,Shasta,179085,3.645001051
16085,Valley,10401,3.636609175
16077,Power,7713,3.635914466
49049,Utah,590440,3.623669177
32011,Eureka,1830,3.619854772
6103,Tehama,63373,3.616454367
12087,Monroe,76325,3.603592746
16063,Lincoln,5321,3.600175817
16087,Washington,10025,3.596664412
6023,Humboldt,135768,3.586152284
6059,Orange,3164182,3.585501859
41027,Hood River,23131,3.583480792
30061,Mineral,4211,3.577029832
16005,Bannock,85065,3.572998856
30053,Lincoln,19358,3.569768361
12083,Marion,348371,3.566273861
6039,Madera,155013,3.561222174
36059,Nassau,1356564,3.560539431
53037,Kittitas,44825,3.553866037
49001,Beaver,6443,3.550078309
27069,Kittson,4337,3.547793709
6035,Lassen,31185,3.54048946
28045,Hancock,46653,3.539328721
37153,Richmond,45189,3.533401291
6069,San Benito,59416,3.533100437
32007,Elko,52252,3.531326087
37055,Dare,35741,3.529152824
6037,Los Angeles,10098052,3.528940189
27089,Marshall,9392,3.526037134
53007,Chelan,75757,3.52025011
12015,Charlotte,176954,3.517944301
30063,Missoula,115983,3.517166631
48033,Borden,665,3.516798561
12001,Alachua,263148,3.515151515
28059,Jackson,142014,3.511823665
6097,Sonoma,501317,3.509317282
13051,Chatham,287049,3.503639816
6045,Mendocino,87422,3.502583271
12127,Volusia,527634,3.499913074
12043,Glades,13363,3.499749691
37093,Hoke,53239,3.497833867
6087,Santa Cruz,273765,3.494147217
48233,Hutchinson,21571,3.492625024
13191,McIntosh,14120,3.488881447
12099,Palm Beach,1446277,3.486700975
16039,Elmore,26433,3.464762001
41063,Wallowa,6924,3.462271118
8119,Teller,24113,3.458541871
49035,Salt Lake,1120805,3.453277798
22071,Orleans,389648,3.438757396
41069,Wheeler,1426,3.437694626
35028,Los Alamos,18356,3.433406714
28091,Marion,25202,3.430481723
16035,Clearwater,8640,3.429722313
6109,Tuolumne,53932,3.410756122
32015,Lander,5746,3.404727084
6055,Napa,140530,3.40252599
53077,Yakima,249325,3.397169408
22087,St. Bernard,45694,3.397101235
41031,Jefferson,23143,3.39623775
6049,Modoc,8938,3.395798945
28047,Harrison,202626,3.391776483
34001,Atlantic,268539,3.389804386
41015,Curry,22507,3.377567753
28065,Jefferson Davis,11495,3.377552498
40059,Harper,3847,3.374987176
12021,Collier,363922,3.363799849
53039,Klickitat,21396,3.36140524
12129,Wakulla,31877,3.359240398
12009,Brevard,576808,3.34984572
13179,Liberty,62108,3.342544013
48459,Upshur,40769,3.336266337
12107,Putnam,72766,3.335090679
28077,Lawrence,12630,3.333055556
37165,Scotland,35262,3.330992979
6053,Monterey,433212,3.3302312
13207,Monroe,27010,3.326702136
12035,Flagler,107139,3.32150963
34005,Burlington,446367,3.310947852
35003,Catron,3539,3.310496776
16073,Owyhee,11455,3.309696459
37125,Moore,95629,3.308489897
28109,Pearl River,55149,3.307965886
35041,Roosevelt,19117,3.293236003
13169,Jones,28548,3.292828987
53047,Okanogan,41638,3.287501501
37105,Lee,60125,3.286726804
16025,Camas,886,3.286389505
37031,Carteret,68920,3.284673098
28073,Lamar,61223,3.284546896
45043,Georgetown,61605,3.278225806
12075,Levy,39961,3.26727485
48235,Irion,1524,3.266829999
13029,Bryan,35885,3.263601168
48183,Gregg,123494,3.262743956
34003,Bergen,929999,3.260004851
6001,Alameda,1643700,3.256760738
28035,Forrest,75517,3.252701524
28131,Stone,18375,3.251158173
6047,Merced,269075,3.250362271
16075,Payette,23041,3.249676943
6083,Santa Barbara,443738,3.246108154
13229,Pierce,19164,3.24540801
6079,San Luis Obispo,281455,3.238062284
48245,Jefferson,255210,3.236824038
13305,Wayne,29767,3.236511889
16041,Franklin,13279,3.22760928
13001,Appling,18454,3.222719642
13005,Bacon,11228,3.219819159
37137,Pamlico,12742,3.218985537
27135,Roseau,15462,3.210887044
13183,Long,18156,3.210884852
36085,Richmond,474101,3.205479452
41001,Baker,15984,3.194877163
48431,Sterling,1141,3.187641319
6003,Alpine,1146,3.185772683
49003,Box Elder,53001,3.183300508
13003,Atkinson,8265,3.182354097
13025,Brantley,18561,3.180549062
13127,Glynn,83974,3.178489363
48169,Garza,6288,3.17734352
13115,Floyd,96824,3.174532667
8103,Rio Blanco,6465,3.173471135
13071,Colquitt,45606,3.17273611
8013,Boulder,321030,3.172544081
45003,Aiken,166926,3.170873843
13019,Berrien,19025,3.164222636
53065,Stevens,44214,3.159379709
1097,Mobile,414659,3.157059992
48063,Camp,12813,3.151892818
41055,Sherman,1605,3.151492778
13017,Ben Hill,17154,3.15059245
48345,Motley,1156,3.149285402
13185,Lowndes,114582,3.147673189
28113,Pike,39737,3.144668545
45089,Williamsburg,31794,3.142467745
37177,Tyrrell,4119,3.142141454
28031,Covington,19091,3.140240788
13069,Coffee,42961,3.137284732
13171,Lamar,18513,3.135460164
13161,Jeff Davis,14991,3.132532659
32017,Lincoln,5174,3.131135008
13143,Haralson,28956,3.129553783
13167,Johnson,9730,3.12581103
28147,Walthall,14601,3.118825002
45025,Chesterfield,46024,3.118139645
45063,Lexington,286316,3.11624093
13173,Lanier,10366,3.114929108
13283,Treutlen,6777,3.113594611
12125,Union,15239,3.110263859
32510,Carson City,54467,3.107353318
28111,Perry,12028,3.107090909
13271,Telfair,16115,3.105225687
30089,Sanders,11521,3.10481308
8035,Douglas,328614,3.104241129
28039,George,23710,3.098493107
13293,Upson,26216,3.098187172
13321,Worth,20656,3.098096207
13091,Dodge,20919,3.097687861
6081,San Mateo,765935,3.096499367
