fips,state,rpl_themes,e_pop
1001,ALABAMA,0.4354,55200
1003,ALABAMA,0.2162,208107
1005,ALABAMA,0.9959,25782
1007,ALABAMA,0.6003,22527
1009,ALABAMA,0.4242,57645
1011,ALABAMA,0.8898,10352
1013,ALABAMA,0.8653,20025
1015,ALABAMA,0.8252,115098
1017,ALABAMA,0.7382,33826
1019,ALABAMA,0.4516,25853
1021,ALABAMA,0.7602,43930
1023,ALABAMA,0.8748,13075
1025,ALABAMA,0.8471,24387
1027,ALABAMA,0.564,13378
1029,ALABAMA,0.5417,14938
1031,ALABAMA,0.5408,51288
1033,ALABAMA,0.4274,54495
1035,ALABAMA,0.8086,12514
1037,ALABAMA,0.5261,10855
1039,ALABAMA,0.7723,37351
1041,ALABAMA,0.6873,13865
1043,ALABAMA,0.5182,82313
1045,ALABAMA,0.7599,49255
1047,ALABAMA,0.949,40029
1049,ALABAMA,0.8022,71200
1051,ALABAMA,0.5401,81212
1053,ALABAMA,0.8557,37328
1055,ALABAMA,0.6564,102939
1057,ALABAMA,0.7038,16585
1059,ALABAMA,0.8417,31542
1061,ALABAMA,0.7955,26491
1063,ALABAMA,0.9854,8426
1065,ALABAMA,0.9599,14887
1067,ALABAMA,0.5519,17124
1069,ALABAMA,0.6838,104352
1071,ALABAMA,0.5726,52094
1073,ALABAMA,0.6621,659892
1075,ALABAMA,0.6264,13933
1077,ALABAMA,0.4468,92585
1079,ALABAMA,0.4952,33171
1081,ALABAMA,0.6602,159287
1083,ALABAMA,0.5296,93052
1085,ALABAMA,0.9188,10236
1087,ALABAMA,0.8971,19054
1089,ALABAMA,0.3076,357560
1091,ALABAMA,0.7621,19538
1093,ALABAMA,0.671,29965
1095,ALABAMA,0.7261,95145
1097,ALABAMA,0.7532,414659
1099,ALABAMA,0.7481,21512
1101,ALABAMA,0.8427,226941
1103,ALABAMA,0.6895,119122
1105,ALABAMA,0.9949,9486
1107,ALABAMA,0.9207,20298
1109,ALABAMA,0.9016,33403
1111,ALABAMA,0.7191,22574
1113,ALABAMA,0.9115,58213
1115,ALABAMA,0.3656,87306
1117,ALABAMA,0.1169,211261
1119,ALABAMA,0.9557,12985
1121,ALABAMA,0.8736,80565
1123,ALABAMA,0.8863,40636
1125,ALABAMA,0.6255,206213
1127,ALABAMA,0.7452,64493
1129,ALABAMA,0.7303,16643
1131,ALABAMA,0.928,10809
1133,ALABAMA,0.7025,23875
2013,ALASKA,0.5803,3425
2016,ALASKA,0.4927,5750
2020,ALASKA,0.4602,296112
2050,ALASKA,0.9748,18040
2060,ALASKA,0.3525,890
2068,ALASKA,0.101,2232
2070,ALASKA,0.8682,4975
2090,ALASKA,0.3446,99653
2100,ALASKA,0.207,2518
2105,ALASKA,0.4178,2132
2110,ALASKA,0.2987,32330
2122,ALASKA,0.4073,58220
2130,ALASKA,0.5548,13804
2150,ALASKA,0.7006,13649
2158,ALASKA,0.9334,8198
2164,ALASKA,0.7978,1375
2170,ALASKA,0.3172,103464
2180,ALASKA,0.9299,9925
2185,ALASKA,0.7344,9797
2188,ALASKA,0.9354,7734
2195,ALASKA,0.665,3255
2198,ALASKA,0.7662,6474
2220,ALASKA,0.4022,8738
2230,ALASKA,0.1685,1061
2240,ALASKA,0.5838,6876
2261,ALASKA,0.2704,9301
2275,ALASKA,0.5618,2484
2282,ALASKA,0.5873,689
2290,ALASKA,0.8812,5415
4001,ARIZONA,0.9885,71522
4003,ARIZONA,0.9064,126279
4005,ARIZONA,0.7131,140217
4007,ARIZONA,0.899,53400
4009,ARIZONA,0.964,37879
4011,ARIZONA,0.6188,9504
4012,ARIZONA,0.9236,20701
4013,ARIZONA,0.6354,4253913
4015,ARIZONA,0.8624,206064
4017,ARIZONA,0.9955,108705
4019,ARIZONA,0.8828,1019722
4021,ARIZONA,0.8592,419721
4023,ARIZONA,0.9318,46584
4025,ARIZONA,0.521,224645
4027,ARIZONA,0.9895,207829
5001,ARKANSAS,0.7787,18124
5003,ARKANSAS,0.8576,20537
5005,ARKANSAS,0.2793,41219
5007,ARKANSAS,0.2707,258980
5009,ARKANSAS,0.4379,37288
5011,ARKANSAS,0.9803,10948
5013,ARKANSAS,0.5481,5202
5015,ARKANSAS,0.5952,27887
5017,ARKANSAS,0.9968,10826
5019,ARKANSAS,0.7892,22385
5021,ARKANSAS,0.6529,15061
5023,ARKANSAS,0.2083,25230
5025,ARKANSAS,0.5643,8226
5027,ARKANSAS,0.9398,23892
5029,ARKANSAS,0.7589,20906
5031,ARKANSAS,0.8041,105701
5033,ARKANSAS,0.6105,62472
5035,ARKANSAS,0.9341,49013
5037,ARKANSAS,0.7013,16998
5039,ARKANSAS,0.8777,7432
5041,ARKANSAS,0.9596,11887
5043,ARKANSAS,0.801,18502
5045,ARKANSAS,0.4774,122416
5047,ARKANSAS,0.5943,17780
